NAME,PHONE NUMBER,DATE OF BIRTH,AADHAR NUMBER
Karthik Singh,7854538192,02.08.1994,594160248177
Karthik Sinha,9134566242,25.02.1976,639924148870
Karthik Thakur,8098493295,09.02.1982,957249836103
Karthik Verma,9976232382,27.04.1970,917785573642
Karthik Verma,9211694618,15.12.1994,818129923429
Karthik Yadav,9838109330,10.04.2007,161349119947
Kavya Bansal,9791149543,14.09.1983,968112477762
Kavya Chopra,8053269953,02.08.1998,167663349836
Kavya Choudhary,9818656683,19.03.1981,210146414892
Kavya Das,9198470147,22.01.1981,582734607147
Kavya Desai,8707836790,15.03.2008,866931409773
Kavya Dey,9454166809,25.03.2009,833006826358
Kavya Gupta,7952660188,14.12.2002,799997527213
Kavya Joshi,7813120503,28.01.1980,754987617763
Kavya Kapoor,7204713898,16.11.2006,921310811240
Kavya Kumar,8850849676,16.04.1987,665474735109
Kavya Malik,9170747483,13.05.2010,920000111038
Kavya Mehta,7379693248,21.05.1974,677801762855
Kavya Mishra,8029045876,02.08.2001,569357449960
Kavya Nair,9238179696,05.11.1998,245276664266
Kavya Patel,9691760977,21.11.2010,529409287229
Kavya Reddy,9498241630,11.06.1999,758429943941
Kavya Saxena,7749060803,15.12.1987,684070682529
Kavya Shah,9269072907,19.06.1993,565133262119
Kavya Sharma,8349271622,13.02.1974,948810737694
Kavya Singh,9222847196,06.06.2009,486871248320
Kavya Sinha,9111045223,18.10.1982,370672870764
Kavya Thakur,9742650737,11.06.2009,349998707463
Kavya Verma,8652983490,01.04.2010,647807390294
Kavya Verma,8010919349,14.04.1995,299101947518
Kavya Yadav,8238194786,10.09.1976,138226272060
Kiara Bansal,7289450476,08.03.1970,369010358342
Kiara Chopra,8413040073,26.06.1998,721935963353
Kiara Choudhary,8443666348,19.01.1982,882398790977
Kiara Das,7692794846,23.12.1974,489750118207
Kiara Desai,9975753023,28.01.1984,256904157849
Kiara Dey,8160848758,22.06.1990,946183617791
Kiara Gupta,7870750460,16.11.1990,887332689378
Kiara Joshi,8825772219,27.01.1984,788893151341
Kiara Kapoor,9454897091,02.11.1986,145043705505
Kiara Kumar,9926289569,17.11.2008,279259740776
Kiara Malik,7520928841,21.09.1976,721021247597
Kiara Mehta,9677183776,22.04.2005,941247911816
Kiara Mishra,7461254241,19.01.1971,657370305679
Kiara Nair,7056868217,05.07.2005,357268193349
Kiara Patel,8749201150,27.09.1978,732626792217
Kiara Reddy,7466998402,18.03.1986,186215747808
Kiara Saxena,7690888018,03.07.1993,550394455986
Kiara Shah,8650572189,28.09.1978,220666811584
Kiara Sharma,9567760820,05.07.1978,384739351619
Kiara Singh,9709489641,13.11.1988,510849814679
Kiara Sinha,9746828502,13.11.1987,654778071107
Kiara Thakur,7112589877,21.03.1991,186957166740
Kiara Verma,9379976661,08.08.1991,491229009174
Kiara Verma,9874433832,28.10.1976,656335004254
Kiara Yadav,8944669403,22.12.1985,695152490756
Lata Bansal,7579629202,28.11.2006,706610335008
Lata Chopra,7903802784,19.11.2008,293216177998
Lata Choudhary,8294201541,26.03.1977,194176942464
Lata Das,7846802098,21.07.1978,348432216587
Lata Desai,8237833851,15.12.2007,171998326536
Lata Dey,7761958425,14.04.1977,483576040553
Lata Gupta,8410127604,01.09.1975,279277772273
Lata Joshi,9129811936,11.09.1978,291419697022
Lata Kapoor,8007776636,23.02.2009,621055089790
Lata Kumar,8803621146,05.10.2008,663579504769
Lata Malik,8566766758,23.03.1991,849644759435
Lata Mehta,9627427571,18.06.1971,297650815432
Lata Mishra,7241789786,06.09.2010,872038090394
Lata Nair,8886153871,10.11.1999,438697360374
Lata Patel,8242789728,17.11.2004,875165229802
Lata Reddy,7760853201,15.07.1982,964126162077
Lata Saxena,7965322998,21.07.2005,744322927739
Lata Shah,9813574110,07.12.2002,937029555124
Lata Sharma,8883405795,27.03.1988,437164576940
Lata Singh,8983161271,04.05.1983,769929873766
Lata Sinha,7737612869,27.05.1974,132269909597
Lata Thakur,7737812206,08.04.1994,970982346015
Lata Verma,9121757257,18.04.1984,127276362178
Lata Verma,7885994588,25.11.1975,830636272370
Lata Yadav,9706799492,15.01.1995,123228766474
Manish Bansal,8376066498,12.06.1994,881340386482
Manish Chopra,8259774489,06.03.1984,857785218563
Manish Choudhary,9555368775,06.05.2006,862466820267
Manish Das,7134191022,17.08.2010,983169931230
Manish Desai,8583649337,25.04.1970,999372971110
Manish Dey,9146344932,18.03.1991,207197599983
Manish Gupta,9913721033,12.06.1990,105637203289
Manish Joshi,7767549693,25.12.2008,718382703041
Manish Kapoor,7122566247,05.08.1998,687063814864
Manish Kumar,8542525520,26.11.1979,546375067579
Manish Malik,8630270509,02.02.1988,662774125986
Manish Mehta,7433475667,14.07.1973,287523431459
Manish Mishra,9966057739,27.11.1985,864045919011
Manish Nair,9417048180,20.06.1988,250499021545
Manish Patel,9133475111,17.08.2007,241382004465
Manish Reddy,9588587629,25.01.1987,789717133201
Manish Saxena,9165103547,10.10.1980,313676054466
Manish Shah,9329591692,20.05.1993,927210371176
Manish Sharma,8891436790,20.12.1990,336553484747
Manish Singh,9961681851,01.04.2001,278800836360
Manish Sinha,7572512962,05.01.2002,393026790373
Manish Thakur,7914093328,07.03.1998,180667117889
Manish Verma,9359640384,06.01.1994,221787551011
Manish Verma,8855704457,08.06.1985,685200945682
Manish Yadav,7481060021,07.08.1988,690493597935
Meera Bansal,8444147528,06.04.2009,677303078403
Meera Chopra,9994953037,06.07.1979,739576426807
Meera Choudhary,8086199947,02.08.1976,796507546340
Meera Das,8388980235,08.08.1975,836570885871
Meera Desai,7849321541,04.04.2003,901436050120
Meera Dey,9437206852,01.05.1996,361221288750
Meera Gupta,8224235067,13.01.1976,257240488687
Meera Joshi,9139237170,15.07.1972,191556895636
Meera Kapoor,8279653633,26.04.1985,938155869793
Meera Kumar,8993923132,25.03.2009,729963028351
Meera Malik,7925079333,05.01.2009,220717867816
Meera Mehta,9115063871,06.08.1985,242734855726
Meera Mishra,7950731447,27.01.1994,681412607096
Meera Nair,8839211351,17.05.2001,236204489194
Meera Patel,8779264646,20.01.2005,141289703725
Meera Reddy,9811579960,15.04.2007,201187678607
Meera Saxena,7063220350,21.08.1999,651717935533
Meera Shah,7871244505,16.05.1984,931196759919
Meera Sharma,9962285111,21.09.1992,239543237504
Meera Singh,7676999353,24.09.1985,356590519047
Meera Sinha,8284785475,06.08.1992,258994087416
Meera Thakur,7057658936,02.11.2003,224249880538
Meera Verma,9354173066,07.02.1998,224109398247
Meera Verma,7934300245,13.08.1995,643585208525
Meera Yadav,9053850757,28.01.2004,645637839200
Mohan Bansal,7050191472,13.08.2007,136565025193
Mohan Chopra,8660815883,16.11.1975,955402595367
Mohan Choudhary,8411025063,19.11.1972,848752487455
Mohan Das,7017635272,13.10.2003,335964490941
Mohan Desai,8839313329,10.02.2001,618272454920
Mohan Dey,7306578636,05.12.2003,455976738334
Mohan Gupta,9692272454,04.02.1979,716850644086
Mohan Joshi,9417870993,02.12.1995,702996952398
Mohan Kapoor,9161657115,15.02.2003,624892698998
Mohan Kumar,8574581153,25.05.1978,857806224115
Mohan Malik,9613631148,19.02.1981,204290419533
Mohan Mehta,8736105101,05.11.1979,166759017728
Mohan Mishra,9127101894,11.11.1977,498899292969
Mohan Nair,8142054459,26.05.1973,682481992653
Mohan Patel,8707476761,26.04.2008,959481589538
Mohan Reddy,8067384908,19.04.1972,639647259628
Mohan Saxena,8933998224,02.04.1970,564210859864
Mohan Shah,8859667776,23.07.1976,893552370248
Mohan Sharma,9213615519,20.03.1994,381916889085
Mohan Singh,8857332164,15.04.1985,981616937790
Mohan Sinha,9388084641,07.09.1996,600223685215
Mohan Thakur,7406157956,07.01.1984,747372493069
Mohan Verma,9514800452,12.07.2002,405662530663
Mohan Verma,9114152572,19.02.1999,533808297693
Mohan Yadav,7122424760,09.08.2005,684626306408
Neha Bansal,7788828403,07.07.1992,922497887198
Neha Chopra,9223183462,15.09.1980,911809844863
Neha Choudhary,7033521919,13.05.1998,267158737911
Neha Das,8470726733,10.05.1982,289681468957
Neha Desai,9208356740,03.05.2007,592514515527
Neha Dey,8614592792,12.04.1985,846572594623
Neha Gupta,7568008979,27.03.1982,169699912075
Neha Joshi,8600570545,12.09.2008,631218411919
Neha Kapoor,8705497717,06.09.1981,425780516291
Neha Kumar,7105409433,07.08.1994,739444606164
Neha Malik,9206903214,20.01.1976,322394447595
Neha Mehta,7825209561,21.06.2006,251328782990
Neha Mishra,9127202393,09.11.2007,541771413772
Neha Nair,8171366897,10.10.1998,776377544695
Neha Patel,7051455819,24.02.2010,465018251017
Neha Reddy,9928940983,16.02.2003,650660796175
Neha Saxena,9321045988,16.08.2004,860136031512
Neha Shah,8822452770,11.09.1995,711257931953
Neha Sharma,9018932291,15.05.1991,444440634365
Neha Singh,8934998672,22.10.1987,490662925319
Neha Sinha,8208333235,02.07.1993,959193815612
Neha Thakur,8353740541,07.10.1978,580730383358
Neha Verma,7845547653,06.11.2002,852576026977
Neha Verma,8325528809,26.10.1984,893064644991
Neha Yadav,8146051235,09.12.1989,863947289712
Om Bansal,9967337749,18.09.1998,876739592841
Om Chopra,9081962986,08.03.1983,431472915758
Om Choudhary,7627653405,03.03.1971,292018343122
Om Das,7716966356,17.12.1979,493753574703
Om Desai,8025675902,26.01.1996,905956319598
Om Dey,9255991987,01.06.1993,133700413916
Om Gupta,8283238133,08.12.1982,394515407334
Om Joshi,9123174746,02.07.1989,160617567601
Om Kapoor,8432132360,05.09.1974,686483842154
Om Kumar,9963566238,19.09.1981,433116187551
Om Malik,9329702720,05.06.2010,807516234234
Om Mehta,9191630828,24.04.2009,765024067390
Om Mishra,8144650247,12.05.1978,510865841812
Om Nair,9158289875,08.08.2001,969507789156
Om Patel,7046828529,22.10.2008,315878550236
Om Reddy,8782129721,04.01.2001,134154402169
Om Saxena,8600493920,01.03.1985,343209037966
Om Shah,7780504346,21.08.1977,437174853680
Om Sharma,9382818930,24.06.1993,761744303516
Om Singh,9263803593,11.06.1987,684539990474
Om Sinha,7682116322,25.08.1981,933608976281
Om Thakur,7792296937,06.01.2005,222190915689
Om Verma,7494308817,05.02.1991,179964325638
Om Verma,9902160023,17.07.2000,701407043769
Om Yadav,8276402163,18.05.2000,270402144776
Pooja Bansal,8208439478,13.10.1981,225025835725
Pooja Chopra,7893147248,10.08.1993,450557722006
Pooja Choudhary,7991741564,12.10.1971,176863851673
Pooja Das,7686402911,21.11.2001,705371196043
Pooja Desai,9928918206,11.11.2003,762496467977
Pooja Dey,7426094063,24.01.1984,589193041970
Pooja Gupta,8959605969,04.11.1997,952249075694
Pooja Joshi,7358745159,02.09.1977,418461486693
Pooja Kapoor,8485596340,07.07.2009,567265928471
Pooja Kumar,9216098140,25.07.1971,484299116755
Pooja Malik,8711871866,16.11.1975,418164661416
Pooja Mehta,8734254008,20.04.2010,890999464535
Pooja Mishra,7860788393,13.08.1977,183623076140
Pooja Nair,9043299875,12.08.1997,929196486482
Pooja Patel,9121397357,17.07.1996,779331800581
Pooja Reddy,9753967384,14.04.1995,836657949308
Pooja Saxena,7805177266,14.01.1974,963509560295
Pooja Shah,7721181546,12.06.1985,307582915341
Pooja Sharma,7187074301,13.04.1992,204070701070
Pooja Singh,7621414292,14.09.1970,922108179688
Pooja Sinha,8820595523,14.03.2004,354568802296
Pooja Thakur,8155981497,01.05.2000,376376494116
Pooja Verma,7170314479,24.10.1994,520622231959
Pooja Verma,9594055015,17.11.1982,394338606371
Pooja Yadav,7380248837,07.09.1998,991762306895
Rahul Bansal,8661890485,22.04.1991,113226856800
Rahul Chopra,7083778638,11.06.2005,489833006018
Rahul Choudhary,8374488280,13.01.1975,781342715371
Rahul Das,7277330829,13.05.2009,354282914437
Rahul Desai,7264496594,08.08.1990,794701557369
Rahul Dey,7321829186,14.08.1996,500859604103
Rahul Gupta,7179264358,03.05.1981,406390659581
Rahul Joshi,8833537296,22.11.1981,256620907220
Rahul Kapoor,8611845234,23.11.2005,331160744730
Rahul Kumar,7640512812,05.11.1980,780418346643
Rahul Malik,7684378088,08.05.1971,874434169774
Rahul Mehta,7408824029,25.03.1982,763865856986
Rahul Mishra,8630226048,28.11.1995,551314506653
Rahul Nair,8933776074,13.01.1979,922189257596
Rahul Patel,7407978892,10.07.2004,635524509844
Rahul Reddy,9550659017,19.05.1991,409725418124
Rahul Saxena,7389371083,15.03.1993,474576019722
Rahul Shah,7337431769,12.11.1978,213478992620
Rahul Sharma,8581035278,13.05.1972,778846827117
Rahul Singh,8337169879,08.11.1979,281491987205
Rahul Sinha,9072498136,18.04.1993,508559236930
Rahul Thakur,8962937549,22.05.1972,581111729294
Rahul Verma,9809474246,05.04.1987,394674162918
Rahul Verma,7378808589,24.06.1985,297477937078
Rahul Yadav,7111357957,15.10.1974,149516423691
Riya Bansal,7648766260,17.11.1975,735189819775
Riya Chopra,9991117708,06.10.1989,327652266773
Riya Choudhary,9642160797,19.02.1983,895909192426
Riya Das,8775033728,14.05.1992,677362799615
Riya Desai,9304773421,09.06.1999,438950547266
Riya Dey,8404025653,15.01.1976,991821755027
Riya Gupta,8096447501,05.10.1989,960266323143
Riya Joshi,9387626571,21.04.1992,446565280690
Riya Kapoor,9402329901,08.11.1997,137715982089
Riya Kumar,7836096963,24.05.1990,664669179672
Riya Malik,9192695666,19.10.1992,879819664251
Riya Mehta,7263506161,09.09.1972,778499082791
Riya Mishra,7345130709,12.01.2000,605102769970
Riya Nair,8494986015,26.04.1994,278093931022
Riya Patel,7849434348,26.03.1973,520712853106
Riya Reddy,8007276209,16.04.1994,507196050731
Riya Saxena,9288389495,14.07.2008,711222374978
Riya Shah,8655203306,25.05.1993,811142760338
Riya Sharma,9723983745,02.02.2010,739576377783
Riya Singh,8784636802,10.05.1972,927135487085
Riya Sinha,8022040334,23.03.1976,594237813694
Riya Thakur,9485216365,04.06.1985,647866417323
Riya Verma,9422100434,12.04.1978,406824075130
Riya Verma,7440026657,05.12.1991,718554262259
Riya Yadav,8168129202,24.06.1973,847493729047
Sakshi Bansal,8180004636,11.02.2010,918847366792
Sakshi Chopra,8040146989,05.05.1985,307733081861
Sakshi Choudhary,7632252732,02.01.1988,735320024607
Sakshi Das,7153423786,11.07.2007,406323288703
Sakshi Desai,8790215048,23.06.1995,546597134896
Sakshi Dey,7659733409,26.06.1976,242046779858
Sakshi Gupta,9293208265,16.01.1974,398585205767
Sakshi Joshi,7633857222,18.12.2008,536316184016
Sakshi Kapoor,7579610082,26.07.1987,726684197963
Sakshi Kumar,7293648309,13.08.1980,779973553856
Sakshi Malik,8167175579,07.07.1995,326439806316
Sakshi Mehta,8673151005,02.11.1970,865851939347
Sakshi Mishra,8542931065,08.04.1999,892837794012
Sakshi Nair,8231812428,02.04.2010,311702366113
Sakshi Patel,7486269158,04.07.1991,949059773039
Sakshi Reddy,9455968590,01.10.1982,794065574772
Sakshi Saxena,8405229167,17.11.1982,429461196435
Sakshi Shah,8930185646,19.12.2007,988909150136
Sakshi Sharma,7126419568,10.10.1985,512026704012
Sakshi Singh,9418907457,07.07.1996,976469671054
Sakshi Sinha,9669475038,07.08.1990,958200319028
Sakshi Thakur,9747345610,19.01.1999,402608623190
Sakshi Verma,7078723624,06.03.1970,242444941654
Sakshi Verma,7022075429,03.12.1977,426763008524
Sakshi Yadav,8831687653,12.04.2001,289718001582
Tanvi Bansal,8966683902,25.08.1970,922367706269
Tanvi Chopra,7496542886,22.08.1981,324929467562
Tanvi Choudhary,7597307559,28.09.1983,787897005211
Tanvi Das,7552676820,19.11.1996,759866800226
Tanvi Desai,7011633593,22.05.1982,514113070937
Tanvi Dey,9205135073,08.04.1970,481357900618
Tanvi Gupta,9475386574,17.07.1987,607558103431
Tanvi Joshi,9613942117,10.04.1984,615548713843
Tanvi Kapoor,9168718331,28.08.1979,436369393209
Tanvi Kumar,8720831184,23.05.2009,410142063167
Tanvi Malik,8970276277,17.08.1972,914595689669
Tanvi Mehta,8152168605,10.10.2003,164651959236
Tanvi Mishra,9668768002,26.11.2010,816552898055
Tanvi Nair,8421123502,13.04.2003,140118746035
Tanvi Patel,8498176122,04.08.1987,504291506573
Tanvi Reddy,9532406284,08.01.2004,610936859054
Tanvi Saxena,9252168054,14.08.2003,331948508954
Tanvi Shah,7025094137,28.08.2002,795530427457
Tanvi Sharma,8409076713,23.05.1970,499881553044
Tanvi Singh,9057496876,06.03.1977,320636751868
Tanvi Sinha,8860088363,06.12.1996,838096614944
Tanvi Thakur,7156234168,13.12.1982,823434385343
Tanvi Verma,7805849581,01.11.2000,908451293473
Tanvi Verma,7756788447,04.04.1999,271107167463
Tanvi Yadav,7182990328,11.11.2007,100579467975
Uma Bansal,9417700881,05.09.1973,113083776914
Uma Chopra,8261905813,21.01.1982,294565779018
Uma Choudhary,8743922119,06.03.1981,345645435047
Uma Das,8827794318,02.09.1975,765875268012
Uma Desai,9442015426,22.04.1994,358026008049
Uma Dey,9897145894,20.10.1983,108147357824
Uma Gupta,8076463955,22.08.1987,613648499169
Uma Joshi,8631280428,17.03.1981,857077007959
Uma Kapoor,8112192424,25.02.2004,865389067008
Uma Kumar,7916293867,02.10.2001,548786431893
Uma Malik,7778720116,23.05.1989,722116518632
Uma Mehta,8971272818,08.09.1977,887171949400
Uma Mishra,8590686856,01.12.1992,852193708892
Uma Nair,8342638153,13.07.1990,891012919250
Uma Patel,7886051043,26.12.1975,920756342272
Uma Reddy,9332616941,25.06.1987,654127488974
Uma Saxena,9810626360,06.04.1971,949884639710
Uma Shah,7753305285,28.05.1990,122712590775
Uma Sharma,9848540942,16.08.2000,210222630843
Uma Singh,7858530493,16.03.1976,153530685114
Uma Sinha,8487671462,19.05.2005,982910372607
Uma Thakur,7516579567,03.10.1997,287774830121
Uma Verma,9211128126,08.12.1988,917184310082
Uma Verma,8023027890,14.05.1984,979242262582
Uma Yadav,7330438343,04.08.2001,419455323594
Varun Bansal,9920287038,16.03.1995,536812482729
Varun Chopra,9128783750,04.11.2006,213195122603
Varun Choudhary,9426737544,28.09.1986,822300258329
Varun Das,9047961075,25.11.1988,651102918881
Varun Desai,9323133964,02.12.2004,962832426675
Varun Dey,9064425759,15.09.1981,805030236620
Varun Gupta,8210655185,16.11.2004,920511202201
Varun Joshi,8512750848,23.10.2003,703804395453
Varun Kapoor,7561220446,17.10.1972,352155396121
Varun Kumar,9881141878,21.04.1981,646569954641
Varun Malik,9637727280,12.04.2002,831777233473
Varun Mehta,9436005406,07.02.2002,319212862482
Varun Mishra,7883428226,17.09.1983,825601659010
Varun Nair,9597075794,16.08.1994,871823795860
Varun Patel,9237664042,14.12.2007,760378203687
Varun Reddy,8677081461,12.08.1991,536912191978
Varun Saxena,7161616222,16.02.2006,816737387340
Varun Shah,9785577981,25.08.1998,835437572400
Varun Sharma,9374426086,23.12.1989,346436797506
Varun Singh,8073688548,23.01.2003,598495940236
Varun Sinha,9740586360,14.12.1976,293917073083
Varun Thakur,9699547480,09.05.2005,909899102928
Varun Verma,7857652918,11.12.1996,553360030726
Varun Verma,8974562638,04.05.1982,986137941013
Varun Yadav,9017765836,10.03.1995,280452754622
Virat Bansal,9426184107,05.07.1985,157498651139
Virat Chopra,9097418107,15.10.1973,661413544155
Virat Choudhary,8448696440,02.01.1991,685525778783
Virat Das,8817470730,20.12.2004,211449728971
Virat Desai,7337372275,24.03.1999,387156278825
Virat Dey,8296989731,24.03.1997,419394667774
Virat Gupta,7849507959,22.03.1976,348689422557
Virat Joshi,8523882561,12.03.1988,879669325375
Virat Kapoor,9015901146,14.04.1992,179132903450
Virat Kumar,7705129966,01.01.2007,592672025621
Virat Malik,8190745953,19.04.1998,988010002924
Virat Mehta,9110992742,23.05.1979,940030829757
Virat Mishra,7119181378,01.11.1972,282868731160
Virat Nair,8487507604,23.12.1970,425891572091
Virat Patel,8085962302,02.02.1999,755604080983
Virat Reddy,8720771343,27.02.2000,716522427816
Virat Saxena,8208400679,13.03.1996,952385635237
Virat Shah,7873571407,13.06.1972,600346298156
Virat Sharma,8043858864,14.02.1993,784960127441
Virat Singh,8761732322,07.08.1995,521162669364
Virat Sinha,9843643272,17.07.1978,660390037635
Virat Thakur,7149390236,05.10.1983,990534813143
Virat Verma,8085253910,26.02.1995,436582251035
Virat Verma,8536428303,13.03.2007,401213046778
Virat Yadav,9504686257,05.08.1998,125761512430
Yash Bansal,8952023424,17.08.1976,554047958944
Yash Chopra,8653038527,12.06.1975,562426505796
Yash Choudhary,9167833047,03.03.1982,138620495346
Yash Das,8381486678,15.05.2003,851623985811
Yash Desai,8495080498,18.06.1997,176994778023
Yash Dey,9864320092,04.06.1996,767300194275
Yash Gupta,9544439622,03.08.1999,193076248006
Yash Joshi,9914544306,26.04.1977,229951599383
Yash Kapoor,7236536819,13.01.1995,900144884117
Yash Kumar,8484146635,18.10.2007,608458607060
Yash Malik,9979242419,14.07.1997,151449929081
Yash Mehta,7618374044,15.05.1977,458247196414
Yash Mishra,7302442971,18.01.1991,773355040547
Yash Nair,7337994129,19.12.1999,264705104477
Yash Patel,9735302189,09.11.1976,306393241644
Yash Reddy,9211247953,12.08.1981,655421699088
Yash Saxena,8210676165,16.11.2008,961947948461
Yash Shah,8556253091,10.09.1989,818073006103
Yash Sharma,7593853252,08.12.1973,386594716972
Yash Singh,9427956849,12.02.1990,719119146514
Yash Sinha,8129901984,16.12.1986,289191513910
Yash Thakur,7641298795,01.04.1993,330371155011
Yash Verma,7394433130,04.02.1992,380074599192
Yash Verma,8254948572,23.06.2000,611399659952
Yash Yadav,8576366629,08.05.1996,859400799815
Zara Bansal,7572956897,19.12.1995,656909878594
Zara Chopra,8324230838,08.08.1989,363915882656
Zara Choudhary,9503759210,28.08.1983,115474639943
Zara Das,9759293731,28.08.2008,781006369826
Zara Desai,7969387442,22.10.1992,531666267243
Zara Dey,8148644988,22.12.1989,182521254269
Zara Gupta,7119287562,16.01.1975,128250908917
Zara Joshi,9282425296,27.06.1984,510639548738
Zara Kapoor,9701297771,03.10.1973,146337476209
Zara Kumar,9972138901,16.01.1992,990852049789
Zara Malik,7528021955,06.09.1990,290930098747
Zara Mehta,7710982909,28.12.2003,606797403356
Zara Mishra,8525526906,15.03.1988,789423973791
Zara Nair,9327293781,24.02.1984,952403972675
Zara Patel,9078213613,15.03.2009,954853973765
Zara Reddy,9648430473,02.08.1986,935048908548
Zara Saxena,9398853371,20.09.1990,342473184980
Zara Shah,7299430378,19.01.1976,816593588341
Zara Sharma,7458992655,02.01.1972,548752297538
Zara Singh,8933853860,09.04.1998,943660489494
Zara Sinha,8217314034,02.12.1972,745191907971
Zara Thakur,8731835015,16.08.2007,501836110567
Zara Verma,7326497263,16.05.1994,591731082226
Zara Verma,7226917134,27.06.1976,792389576625
Zara Yadav,9419382528,23.04.1975,688976422723
